path,change_type,scope,source_basis,verification
cpf-batch/control-server/src/main/java/com/cpf/batch/control/compat/CpfBatchRiskCommandCoordinator.java,MODIFY,QA-B fail-closed correction/regression,ff8c596042583eba665a5475b1c3e43d2ef39ba6,Java compile/run harness; full Gradle/JDBC/HTTP pending
cpf-tools/db/vendor/mariadb/rollback/R100__bat_operation_request_ledger.sql,MODIFY,QA-B fail-closed correction/regression,ff8c596042583eba665a5475b1c3e43d2ef39ba6,source regression PASS; real MariaDB pending
cpf-tools/scripts/build-cpf-full-qa-ledgers.py,MODIFY,QA-B fail-closed correction/regression,ff8c596042583eba665a5475b1c3e43d2ef39ba6,identity and logical-ledger regressions PASS
cpf-tools/scripts/validate-cpf-full-qa-ledgers.py,ADD,QA-B fail-closed correction/regression,ff8c596042583eba665a5475b1c3e43d2ef39ba6,positive/negative validator tests PASS
cpf-tools/scripts/validate-qa-partition-coverage.py,ADD,QA-B fail-closed correction/regression,ff8c596042583eba665a5475b1c3e43d2ef39ba6,actual-ledger partition tests PASS
cpf-tools/scripts/validate-qa-query-count.py,ADD,QA-B fail-closed correction/regression,ff8c596042583eba665a5475b1c3e43d2ef39ba6,"9,962 query inventory PASS"
cpf-tools/scripts/verify-cpf-bat-operation-ledger-lifecycle.py,MODIFY,QA-B fail-closed correction/regression,ff8c596042583eba665a5475b1c3e43d2ef39ba6,lifecycle static gate tests PASS
cpf-tools/scripts/tests/test_batch_risk_command_action_unknown.py,ADD,QA-B fail-closed correction/regression,ff8c596042583eba665a5475b1c3e43d2ef39ba6,focused regression PASS
cpf-tools/scripts/tests/test_build_cpf_full_qa_ledgers_identity.py,ADD,QA-B fail-closed correction/regression,ff8c596042583eba665a5475b1c3e43d2ef39ba6,focused regression PASS
cpf-tools/scripts/tests/test_mariadb_r100_retry_safety_source.py,ADD,QA-B fail-closed correction/regression,ff8c596042583eba665a5475b1c3e43d2ef39ba6,focused regression PASS
cpf-tools/scripts/tests/test_qa_partition_validators.py,ADD,QA-B fail-closed correction/regression,ff8c596042583eba665a5475b1c3e43d2ef39ba6,focused regression PASS
cpf-tools/scripts/tests/test_verify_cpf_bat_operation_ledger_lifecycle.py,MODIFY,QA-B fail-closed correction/regression,ff8c596042583eba665a5475b1c3e43d2ef39ba6,focused regression PASS
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/BOOTSTRAP_AND_VALIDATE.md,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/CANONICAL_COUNTS.json,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/CROSS_PARTITION_PATCH_REQUEST.csv,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/DELETE_MANIFEST.csv,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/CLEANUP_ONE_LINE.txt,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/OPEN_ISSUES.md,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/QA_B_QUERY_LEDGER.csv,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/QA_B_REQUIREMENT_ASSIGNMENT.csv,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/QA_PARTITION_PLAN.csv,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/QA_REWORK_REQUEST.md,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/REQUIREMENT_STATUS.csv,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/REVIEW_INDEX.md,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/SCENARIO_STATUS.csv,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/SOURCE_MANIFEST.csv,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/TEST_AND_EVIDENCE.md,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/CHANGE_MANIFEST.csv,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/PACKAGE_MANIFEST.json,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/work/review/qa/QA_PARALLEL_B_FF8C596_COMPLETION/PACKAGE_MANIFEST.sha256.txt,ADD,QA-B review/package artifact,ff8c596042583eba665a5475b1c3e43d2ef39ba6,package allowlist/hash validation
cpf-docs/evidence/qa/QA_PARALLEL_B_FF8C596_COMPLETION/environment.log,ADD,QA-B execution evidence,ff8c596042583eba665a5475b1c3e43d2ef39ba6,generated in current run
cpf-docs/evidence/qa/QA_PARALLEL_B_FF8C596_COMPLETION/full_regression.log,ADD,QA-B execution evidence,ff8c596042583eba665a5475b1c3e43d2ef39ba6,generated in current run
cpf-docs/evidence/qa/QA_PARALLEL_B_FF8C596_COMPLETION/python_compileall.log,ADD,QA-B execution evidence,ff8c596042583eba665a5475b1c3e43d2ef39ba6,generated in current run
cpf-docs/evidence/qa/QA_PARALLEL_B_FF8C596_COMPLETION/query_count.json,ADD,QA-B execution evidence,ff8c596042583eba665a5475b1c3e43d2ef39ba6,generated in current run
cpf-docs/evidence/qa/QA_PARALLEL_B_FF8C596_COMPLETION/query_count.log,ADD,QA-B execution evidence,ff8c596042583eba665a5475b1c3e43d2ef39ba6,generated in current run
cpf-docs/evidence/qa/QA_PARALLEL_B_FF8C596_COMPLETION/query_validator.json,ADD,QA-B execution evidence,ff8c596042583eba665a5475b1c3e43d2ef39ba6,generated in current run
cpf-docs/evidence/qa/QA_PARALLEL_B_FF8C596_COMPLETION/query_validator.log,ADD,QA-B execution evidence,ff8c596042583eba665a5475b1c3e43d2ef39ba6,generated in current run
cpf-docs/evidence/qa/QA_PARALLEL_B_FF8C596_COMPLETION/source_manifest_validation.json,ADD,QA-B execution evidence,ff8c596042583eba665a5475b1c3e43d2ef39ba6,generated in current run
cpf-docs/evidence/qa/QA_PARALLEL_B_FF8C596_COMPLETION/source_manifest_validation.log,ADD,QA-B execution evidence,ff8c596042583eba665a5475b1c3e43d2ef39ba6,generated in current run
cpf-docs/evidence/qa/QA_PARALLEL_B_FF8C596_COMPLETION/package_local_ledger_validation.json,ADD,QA-B execution evidence,ff8c596042583eba665a5475b1c3e43d2ef39ba6,generated in current run
cpf-docs/evidence/qa/QA_PARALLEL_B_FF8C596_COMPLETION/package_local_ledger_validation.log,ADD,QA-B execution evidence,ff8c596042583eba665a5475b1c3e43d2ef39ba6,generated in current run
cpf-docs/evidence/qa/QA_PARALLEL_B_FF8C596_COMPLETION/full_ledger_build_unavailable.json,ADD,QA-B execution evidence,ff8c596042583eba665a5475b1c3e43d2ef39ba6,generated in current run
cpf-docs/evidence/qa/QA_PARALLEL_B_FF8C596_COMPLETION/full_ledger_build_unavailable.log,ADD,QA-B execution evidence,ff8c596042583eba665a5475b1c3e43d2ef39ba6,generated in current run
