partition_id,logical_order,requirement_id,baseline_sha,assignment_status,review_status,notes
QA-B,9651,CPF-FR-009651,ff8c596042583eba665a5475b1c3e43d2ef39ba6,MANAGER_ASSIGNED_PENDING_CANONICAL_LEDGER_VALIDATION,미검수,Actual canonical row and Scenario links must be loaded from complete split master before review.
QA-B,9652,CPF-FR-009652,ff8c596042583eba665a5475b1c3e43d2ef39ba6,MANAGER_ASSIGNED_PENDING_CANONICAL_LEDGER_VALIDATION,미검수,Actual canonical row and Scenario links must be loaded from complete split master before review.
QA-B,9653,CPF-FR-009653,ff8c596042583eba665a5475b1c3e43d2ef39ba6,MANAGER_ASSIGNED_PENDING_CANONICAL_LEDGER_VALIDATION,미검수,Actual canonical row and Scenario links must be loaded from complete split master before review.
QA-B,9654,CPF-FR-009654,ff8c596042583eba665a5475b1c3e43d2ef39ba6,MANAGER_ASSIGNED_PENDING_CANONICAL_LEDGER_VALIDATION,미검수,Actual canonical row and Scenario links must be loaded from complete split master before review.
QA-B,9655,CPF-FR-009655,ff8c596042583eba665a5475b1c3e43d2ef39ba6,MANAGER_ASSIGNED_PENDING_CANONICAL_LEDGER_VALIDATION,미검수,Actual canonical row and Scenario links must be loaded from complete split master before review.
QA-B,9656,CPF-FR-009656,ff8c596042583eba665a5475b1c3e43d2ef39ba6,MANAGER_ASSIGNED_PENDING_CANONICAL_LEDGER_VALIDATION,미검수,Actual canonical row and Scenario links must be loaded from complete split master before review.
QA-B,9657,CPF-FR-009657,ff8c596042583eba665a5475b1c3e43d2ef39ba6,MANAGER_ASSIGNED_PENDING_CANONICAL_LEDGER_VALIDATION,미검수,Actual canonical row and Scenario links must be loaded from complete split master before review.
QA-B,9658,CPF-FR-009658,ff8c596042583eba665a5475b1c3e43d2ef39ba6,MANAGER_ASSIGNED_PENDING_CANONICAL_LEDGER_VALIDATION,미검수,Actual canonical row and Scenario links must be loaded from complete split master before review.
QA-B,9659,CPF-FR-009659,ff8c596042583eba665a5475b1c3e43d2ef39ba6,MANAGER_ASSIGNED_PENDING_CANONICAL_LEDGER_VALIDATION,미검수,Actual canonical row and Scenario links must be loaded from complete split master before review.
QA-B,9660,CPF-FR-009660,ff8c596042583eba665a5475b1c3e43d2ef39ba6,MANAGER_ASSIGNED_PENDING_CANONICAL_LEDGER_VALIDATION,미검수,Actual canonical row and Scenario links must be loaded from complete split master before review.
QA-B,9661,CPF-FR-009661,ff8c596042583eba665a5475b1c3e43d2ef39ba6,MANAGER_ASSIGNED_PENDING_CANONICAL_LEDGER_VALIDATION,미검수,Actual canonical row and Scenario links must be loaded from complete split master before review.
QA-B,9662,CPF-FR-009662,ff8c596042583eba665a5475b1c3e43d2ef39ba6,MANAGER_ASSIGNED_PENDING_CANONICAL_LEDGER_VALIDATION,미검수,Actual canonical row and Scenario links must be loaded from complete split master before review.
QA-B,9663,CPF-FR-009663,ff8c596042583eba665a5475b1c3e43d2ef39ba6,MANAGER_ASSIGNED_PENDING_CANONICAL_LEDGER_VALIDATION,미검수,Actual canonical row and Scenario links must be loaded from complete split master before review.
QA-B,9664,CPF-FR-009664,ff8c596042583eba665a5475b1c3e43d2ef39ba6,MANAGER_ASSIGNED_PENDING_CANONICAL_LEDGER_VALIDATION,미검수,Actual canonical row and Scenario links must be loaded from complete split master before review.
QA-B,9665,CPF-FR-009665,ff8c596042583eba665a5475b1c3e43d2ef39ba6,MANAGER_ASSIGNED_PENDING_CANONICAL_LEDGER_VALIDATION,미검수,Actual canonical row and Scenario links must be loaded from complete split master before review.
QA-B,9666,CPF-FR-009666,ff8c596042583eba665a5475b1c3e43d2ef39ba6,MANAGER_ASSIGNED_PENDING_CANONICAL_LEDGER_VALIDATION,미검수,Actual canonical row and Scenario links must be loaded from complete split master before review.
