path,sha256,baseline_sha,scope
cpf-batch/control-server/src/main/java/com/cpf/batch/control/compat/CpfBatchRiskCommandCoordinator.java,385ff434f566b5f5a6d2b2932e51b8de4df6a47199e3f30eeb7c083f1dd70b2d,ff8c596042583eba665a5475b1c3e43d2ef39ba6,overlay product/script/test
cpf-tools/db/vendor/mariadb/rollback/R100__bat_operation_request_ledger.sql,701a6dcbbce901fd3b3345dd9b1c873f00a968925e7f1bc9af8420e469945e18,ff8c596042583eba665a5475b1c3e43d2ef39ba6,overlay product/script/test
cpf-tools/scripts/build-cpf-full-qa-ledgers.py,9227eae9d6057b8c2aab349e188d03bbdafdb395148934bcc9067455790607bc,ff8c596042583eba665a5475b1c3e43d2ef39ba6,overlay product/script/test
cpf-tools/scripts/validate-cpf-full-qa-ledgers.py,6a91e3f54252909fda070b9dc836b249db1dd9146ec887ba57393e41c4752e39,ff8c596042583eba665a5475b1c3e43d2ef39ba6,overlay product/script/test
cpf-tools/scripts/validate-qa-partition-coverage.py,f18de0c1d07d4a5fcce67ec6eae191ff230d221e09a69314ed8c2e6eb452a1e1,ff8c596042583eba665a5475b1c3e43d2ef39ba6,overlay product/script/test
cpf-tools/scripts/validate-qa-query-count.py,bf26e387d69497c7597d7ecee10360f607e8995785d210a8c0af8a0c716179c2,ff8c596042583eba665a5475b1c3e43d2ef39ba6,overlay product/script/test
cpf-tools/scripts/verify-cpf-bat-operation-ledger-lifecycle.py,bfa945e9de5078854fe8d366fb1dbecdaca51f8b75502340752943a59473740f,ff8c596042583eba665a5475b1c3e43d2ef39ba6,overlay product/script/test
cpf-tools/scripts/tests/test_batch_risk_command_action_unknown.py,da387f3932146dc96ef03cbd38c763b1d187e98623837d84702a9cbbddc5a276,ff8c596042583eba665a5475b1c3e43d2ef39ba6,overlay product/script/test
cpf-tools/scripts/tests/test_build_cpf_full_qa_ledgers_identity.py,de877c9b4c7442424da3840323f9708e8039c03384787bd80a268243862ecc26,ff8c596042583eba665a5475b1c3e43d2ef39ba6,overlay product/script/test
cpf-tools/scripts/tests/test_mariadb_r100_retry_safety_source.py,670a8caa1ea88cc5e19c838644c8e40bbe646266b93b38a0b757a19662c01d59,ff8c596042583eba665a5475b1c3e43d2ef39ba6,overlay product/script/test
cpf-tools/scripts/tests/test_qa_partition_validators.py,30bb02bd52d5bf01b0d59b3127b2d52143a77b3401e707f42bb6688b3de732cb,ff8c596042583eba665a5475b1c3e43d2ef39ba6,overlay product/script/test
cpf-tools/scripts/tests/test_verify_cpf_bat_operation_ledger_lifecycle.py,50436e3a244bd7362cecc28725827a3971107362d1fbc0b13f7b61bff9c6274a,ff8c596042583eba665a5475b1c3e43d2ef39ba6,overlay product/script/test
