path,change_type,scope
cpf-batch/control-server/src/main/java/com/cpf/batch/control/compat/CpfBatchRiskCommandCoordinator.java,MODIFY,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/QA_DIRECT_FIXES.diff,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/approval_state_machine_gate.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/archive_download_attempt.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/bat_operation_ledger_lifecycle.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/batch_approval_trust_gate.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/batch_post_action_after.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/batch_post_action_before.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/batch_runtime_version_gate.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/combined_overlay_regression.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/db_lifecycle_after.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/db_lifecycle_before.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/environment_java.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/environment_node.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/environment_python.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/full_exact_head_runner.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/full_qa_completion_gate.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/full_qa_ledger_builder.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/git_clone_attempt.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/internal_identity_gate.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/owner_boundaries_after.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/owner_boundaries_before.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/package_assembled_regression.log,ADD,QA full-campaign root overlay
cpf-docs/evidence/qa/QA_FULL_CAMPAIGN_02DCB5D_R1/python_compileall.log,ADD,QA full-campaign root overlay
