request_id,gate_id,gate_name,applicable_work_item_count,assertion,evidence_ref,assessment_status,development_status,verification_status,open_issue,baseline_sha
DEVGPT-V9-S01,GATE-01-OWNERSHIP,Owner/Public API/SPI/Internal 경계,74,해당 Work Item의 개별 Requirement/Scenario 결과와 Evidence가 연결되고 fail-closed/복구 규칙을 충족,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md,판정 완료,미완료,재확인 필요,타 Owner/목표 Runtime Integration 대기,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,GATE-02-CONSUMER,실제 Consumer·전체 호출 경로,74,해당 Work Item의 개별 Requirement/Scenario 결과와 Evidence가 연결되고 fail-closed/복구 규칙을 충족,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md,판정 완료,미완료,재확인 필요,타 Owner/목표 Runtime Integration 대기,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,GATE-06-STATE-IDEMP,상태·멱등성·동시성,31,해당 Work Item의 개별 Requirement/Scenario 결과와 Evidence가 연결되고 fail-closed/복구 규칙을 충족,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md,판정 완료,미완료,재확인 필요,타 Owner/목표 Runtime Integration 대기,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,GATE-07-MULTI-INSTANCE,다중 인스턴스·분산 경쟁,4,해당 Work Item의 개별 Requirement/Scenario 결과와 Evidence가 연결되고 fail-closed/복구 규칙을 충족,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md,판정 완료,미완료,재확인 필요,타 Owner/목표 Runtime Integration 대기,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,GATE-08-UNKNOWN-RECOVERY,UNKNOWN·대사·복구,20,해당 Work Item의 개별 Requirement/Scenario 결과와 Evidence가 연결되고 fail-closed/복구 규칙을 충족,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md,판정 완료,미완료,재확인 필요,타 Owner/목표 Runtime Integration 대기,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,GATE-09-SECURITY,AuthN/AuthZ·fail-closed,41,해당 Work Item의 개별 Requirement/Scenario 결과와 Evidence가 연결되고 fail-closed/복구 규칙을 충족,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md,판정 완료,미완료,재확인 필요,타 Owner/목표 Runtime Integration 대기,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,GATE-10-CRYPTO-PRIVACY,Secret·PII·Masking,37,해당 Work Item의 개별 Requirement/Scenario 결과와 Evidence가 연결되고 fail-closed/복구 규칙을 충족,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md,판정 완료,미완료,재확인 필요,타 Owner/목표 Runtime Integration 대기,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,GATE-11-OPS-AUDIT,위험조치·승인·감사,25,해당 Work Item의 개별 Requirement/Scenario 결과와 Evidence가 연결되고 fail-closed/복구 규칙을 충족,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md,판정 완료,미완료,재확인 필요,타 Owner/목표 Runtime Integration 대기,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,GATE-12-OBSERVABILITY,Logging·Metric·Trace·Health,36,해당 Work Item의 개별 Requirement/Scenario 결과와 Evidence가 연결되고 fail-closed/복구 규칙을 충족,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md,판정 완료,미완료,재확인 필요,타 Owner/목표 Runtime Integration 대기,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,GATE-18-TEST-EVIDENCE,Test·Assertion·명령·Evidence,74,해당 Work Item의 개별 Requirement/Scenario 결과와 Evidence가 연결되고 fail-closed/복구 규칙을 충족,results/DEVELOPMENT_WORK_ITEM_RESULT.csv;results/DEVELOPMENT_REQUIREMENT_RESULT.csv;results/DEVELOPMENT_SCENARIO_RESULT.csv;results/TEST_AND_EVIDENCE.md,판정 완료,미완료,재확인 필요,타 Owner/목표 Runtime Integration 대기,fc207ac5560da59f352ee0c5f83199177f2987b4
