path,change_type,owner,purpose,delete
cpf-core/src/main/java/com/cpf/core/api/locking/CpfLockManager.java,MODIFY,DEVGPT-V9-S01,cpf-core safety defect correction and regression harness,false
cpf-core/src/main/java/com/cpf/core/api/logging/CpfAsyncLogWriterOperations.java,MODIFY,DEVGPT-V9-S01,cpf-core safety defect correction and regression harness,false
cpf-core/src/test/java/com/cpf/core/api/locking/CpfLockManagerDefaultTokenValidationHarness.java,ADD,DEVGPT-V9-S01,cpf-core safety defect correction and regression harness,false
cpf-core/src/test/java/com/cpf/core/api/logging/CpfAsyncLogWriterOperationsHarness.java,ADD,DEVGPT-V9-S01,cpf-core safety defect correction and regression harness,false
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S01-20260805/REV-001/sessions/DEVGPT-V9-S01/APPLY_AND_VERIFY_COMMANDS.md,ADD,DEVGPT-V9-S01,V9 isolated checkpoint result/evidence/integration request,false
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S01-20260805/REV-001/sessions/DEVGPT-V9-S01/CHECKPOINT_REASON.md,ADD,DEVGPT-V9-S01,V9 isolated checkpoint result/evidence/integration request,false
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S01-20260805/REV-001/sessions/DEVGPT-V9-S01/HANDOVER.md,ADD,DEVGPT-V9-S01,V9 isolated checkpoint result/evidence/integration request,false
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S01-20260805/REV-001/sessions/DEVGPT-V9-S01/REQUEST.md,ADD,DEVGPT-V9-S01,V9 isolated checkpoint result/evidence/integration request,false
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S01-20260805/REV-001/sessions/DEVGPT-V9-S01/SESSION_ARTIFACT_MANIFEST.csv,ADD,DEVGPT-V9-S01,V9 isolated checkpoint result/evidence/integration request,false
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S01-20260805/REV-001/sessions/DEVGPT-V9-S01/SESSION_CLEANUP_COMMAND.ps1,ADD,DEVGPT-V9-S01,V9 isolated checkpoint result/evidence/integration request,false
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S01-20260805/REV-001/sessions/DEVGPT-V9-S01/evidence/async-log-snapshot/compile.exit-code,ADD,DEVGPT-V9-S01,V9 isolated checkpoint result/evidence/integration request,false
cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S01-20260805/REV-001/sessions/DEVGPT-V9-S01/evidence/async-log-snapshot/compile.log,ADD,DEVGPT-V9-S01,V9 isolated checkpoint result/evidence/integration request,false
