finding_id,priority,path,category,finding,impact,required_action
F-001,P0,cpf-starters/messaging-rabbitmq/src/main/java/com/cpf/starter/rabbitmq/CpfRabbitMqAutoConfiguration.java,compile,java.util.*와 org.springframework.amqp.core.* 동시 wildcard import 후 Queue 단순명 사용으로 컴파일 모호성.,development_status=미구현; 전체 완료 불가,명시 import로 수정 후 fresh compile
F-002,P0,cpf-starters/messaging-kafka/src/main/java/com/cpf/starter/kafka/CpfKafkaBindingAutoConfiguration.java,binding,"설정값을 무시하고 항상 name=kafka, default=true로 등록.",다중 Provider 정책 위반,binding-name/default-binding 설정화 및 matrix test
F-003,P0,settings.gradle,build graph,"49개 Starter(Leaf 36, Profile 13)를 공개 프로젝트로 등록. 7개 Integration Source는 settings에 미등록.","선택면 과세분화, 미등록 Source 제품성 없음","공개 Capability 축소, 미등록 제거"
F-004,P0,cpf-batch/build.gradle,dependency,subprojects 전체에 Event Kafka와 Scheduled Profile 강제 주입.,contract/testkit도 선택 Runtime 오염 가능,실행 모듈별 최소 의존으로 이동
F-005,P0,cpf-starters/security-aggregate/build.gradle,aggregate,"Resource Server, Session JDBC, Service Identity를 동시에 api 전이.",상호 다른 보안 모델 동시 포함,Aggregate 제거; Use-case Profile 분리
F-006,P0,cpf-starters/cache-aggregate/build.gradle,aggregate,Caffeine과 Valkey Provider를 동시에 api 전이.,미선택 Provider 포함 및 bean/footprint 위험,Generator가 leaf 하나만 lock
F-007,P0,cpf-starters/profiles/persistence-mybatis/build.gradle,profile,MyBatis Starter가 JDBC를 이미 api 전이하는데 Profile이 JDBC를 다시 선언.,중복 그래프/정본 혼란,Profile 제거; capability binding으로 대체
F-008,P0,cpf-starters/profiles/event-jms-ibm-mq/build.gradle,profile,JMS와 IBM MQ를 동시에 전이.,IBM MQ 별도 Provider 원칙 및 단일 binding 선택과 충돌,event-service + provider binding으로 분리
F-009,P0,cpf-starters/notification/src/main/java/com/cpf/starter/notification/JdbcCpfNotificationOutbox.java,reliability,claim은 PENDING만 조회하며 만료된 CLAIMED lease를 회수하지 않음.,Worker kill 후 영구 고착,expired lease reclaim SQL/테스트
F-010,P0,cpf-starters/notification/src/main/java/com/cpf/starter/notification/CpfNotificationWorker.java,unknown-result,Provider가 UNKNOWN을 반환해도 complete 호출 후 sent++ 처리.,결과불명을 성공 집계,UNKNOWN 별도 상태와 reconcile
F-011,P0,cpf-starters/notification/src/main/java/com/cpf/starter/notification/CpfNotificationAutoConfiguration.java,consumer,Worker Bean만 생성하고 반복 실행/승인/운영 연결 없음.,실제 Consumer 없는 추상화,Scheduler/Batch owner와 operations API 연결
F-012,P0,cpf-starters/scheduler-quartz/src/main/java/com/cpf/starter/quartz/CpfQuartzAutoConfiguration.java,cluster,clustered property만 설정하고 JDBC JobStore/DataSource/schema를 구성하지 않음.,다중 인스턴스 Cluster 성립 미확인,실제 JDBC JobStore 또는 Starter 제거
F-013,P1,cpf-starters/integration-sftp/src/main/java/com/cpf/starter/sftp/CpfSftpAutoConfiguration.java,health,HealthIndicator가 실제 접속 없이 항상 UP.,운영 오판,실제/비침습 probe와 degraded state
F-014,P1,cpf-starters/integration-sftp/src/main/java/com/cpf/starter/sftp/CpfSftpProperties.java,security,password 문자열 직접 설정.,prod secret management 위반,CpfSecretReference/Provider 사용
F-015,P1,cpf-starters/validation/src/main/java/com/cpf/starter/validation/CpfValidationAutoConfiguration.java,value,LocalValidatorFactoryBean만 제공.,Spring Boot 직접 사용 대비 CPF 가치 없음,Starter 제거
F-016,P1,cpf-starters/resilience/src/main/java/com/cpf/starter/resilience/CpfResilienceExecutor.java,value,CircuitBreakerFactory.create().run() 얇은 wrapper.,정책/멱등/unknown-result/운영 가치 없음,Starter 제거
F-017,P1,cpf-starters/featureflag/src/main/java/com/cpf/starter/featureflag/CpfFeatureFlagService.java,value/API,OpenFeature EvaluationContext를 Public API에 노출하고 boolean 호출만 감쌈.,Provider lock-in과 추가 가치 없음,Starter 제거
