requirement_id,priority,category,owner,title,original_development_status,original_verification_status,post_push_review_status,review_reason,related_defects
QA38-CURRENT-005,P0,Multi-GPT,QA/Tooling,다중 GPT 경로 분류,완료,완료,완료,정적 검토에서 해당 통제의 직접 위반은 확인되지 않음,QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-034;QA39-DEF-039
QA38-CURRENT-006,P0,Multi-GPT,QA/Tooling,동시 수정 내용 보존 후 현행화,완료,완료,실패,확정 Source/Build/Truth 결함이 Acceptance를 위반,QA39-DEF-008;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-039
QA38-CURRENT-007,P0,Protected Path,QA/Tooling,다른 GPT 보호 경로 전면 차단,완료,완료,완료,정적 검토에서 해당 통제의 직접 위반은 확인되지 않음,QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-039
QA38-GOV-001,P0,Governance,QA/Governance,Latest master exact SHA,완료,완료,실패,확정 Source/Build/Truth 결함이 Acceptance를 위반,QA39-DEF-011;QA39-DEF-012;QA39-DEF-013;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-036;QA39-DEF-039
QA38-GOV-002,P0,Governance,QA/Governance,다른 GPT 보호 경로,완료,완료,완료,정적 검토에서 해당 통제의 직접 위반은 확인되지 않음,QA39-DEF-011;QA39-DEF-012;QA39-DEF-013;QA39-DEF-015;QA39-DEF-017;QA39-DEF-036;QA39-DEF-039
QA38-GOV-003,P0,Governance,QA/Governance,개발 GPT 62개 Backlog Import,완료,완료,재확인 필요,정본/이력/전체 Repository 대조가 추가로 필요,QA39-DEF-011;QA39-DEF-012;QA39-DEF-013;QA39-DEF-015;QA39-DEF-017;QA39-DEF-036;QA39-DEF-039
QA38-GOV-004,P0,Governance,QA/Governance,Canonical 169 확인,완료,완료,재확인 필요,정본/이력/전체 Repository 대조가 추가로 필요,QA39-DEF-011;QA39-DEF-012;QA39-DEF-013;QA39-DEF-015;QA39-DEF-017;QA39-DEF-036;QA39-DEF-039
QA38-VERIFY-001,P0,Verification,Codex/QA,00_BASELINE,완료,완료,실패,확정 Source/Build/Truth 결함이 Acceptance를 위반,QA39-DEF-002;QA39-DEF-011;QA39-DEF-012;QA39-DEF-015;QA39-DEF-016;QA39-DEF-017;QA39-DEF-036;QA39-DEF-039
QA38-CURRENT-001,P0,Currentization,QA/Governance,최종 QA 요청서 자체 완결성,완료,완료,재확인 필요,정본/이력/전체 Repository 대조가 추가로 필요,QA39-DEF-011;QA39-DEF-012;QA39-DEF-013;QA39-DEF-015;QA39-DEF-017;QA39-DEF-019;QA39-DEF-032;QA39-DEF-036;QA39-DEF-039
QA38-CURRENT-002,P0,Currentization,QA/Governance,Current 진입점 단일화,완료,완료,재확인 필요,정본/이력/전체 Repository 대조가 추가로 필요,QA39-DEF-011;QA39-DEF-012;QA39-DEF-013;QA39-DEF-015;QA39-DEF-039
