path,operation,owner,file_type,bytes,physical_lines,sha256,review_status,finding,review_basis,required_followup
build.gradle,ADD_OR_REPLACE,root-build,gradle,104736,2104,2628520c2d5dcdf23b450a0b33845c8c126dec57e3cd14045e17dd97875db705,미검증,정적 dependency 검토 대상이며 실제 Gradle configuration/compile/publication 미실행,Local R4 overlay static audit + GitHub exact commit stats,
cpf-admin/build.gradle,ADD_OR_REPLACE,cpf-admin,gradle,4981,115,98f1540ba57a169ef9d1869bdd2f6de723e2c1849bf2e5e2e65e6ff6f6b31bb4,미검증,정적 dependency 검토 대상이며 실제 Gradle configuration/compile/publication 미실행,Local R4 overlay static audit + GitHub exact commit stats,각 Consumer의 실제 Bean/Endpoint/Job/Screen 연결과 boot smoke를 구현한다.
cpf-batch/build.gradle,ADD_OR_REPLACE,cpf-batch,gradle,3599,75,937fa8a39516bd89898c2b8bf113e777b67f0d81cd70460002f20cdba6ca3d89,실패,모든 Batch subproject에 Runtime Profile 일괄 주입,Local R4 overlay static audit + GitHub exact commit stats,execution-runtime/scheduler/worker 등 실제 Runtime Project에만 필요한 Profile을 선언한다.
cpf-biz-admin/build.gradle,ADD_OR_REPLACE,cpf-biz-admin,gradle,4480,106,7db92c3b12f1236fbcc3370feca77937515fc349ba18244bac1fc9e62de78429,미검증,정적 dependency 검토 대상이며 실제 Gradle configuration/compile/publication 미실행,Local R4 overlay static audit + GitHub exact commit stats,각 Consumer의 실제 Bean/Endpoint/Job/Screen 연결과 boot smoke를 구현한다.
cpf-common/build.gradle,ADD_OR_REPLACE,cpf-common,gradle,1871,60,22541d81048d23ddddbd4b951426abba27e5008eb0c152e187cbbc15df26cb74,미검증,정적 dependency 검토 대상이며 실제 Gradle configuration/compile/publication 미실행,Local R4 overlay static audit + GitHub exact commit stats,
cpf-core/build.gradle,ADD_OR_REPLACE,cpf-core,gradle,3148,85,64cc05eb98d64a42526165a7a07da3248c0cc3b8e84b8cbda17f89f32e28cc6c,미검증,정적 dependency 검토 대상이며 실제 Gradle configuration/compile/publication 미실행,Local R4 overlay static audit + GitHub exact commit stats,
cpf-core/src/main/resources/META-INF/spring.factories,ADD_OR_REPLACE,cpf-core,factories,71,1,4ae7bba050305f0641887ffbab0b45402cf6270f532a1cf679c90dd9b529ac30,재확인 필요,정적 검토 대상,Local R4 overlay static audit + GitHub exact commit stats,
cpf-core/src/main/resources/META-INF/spring/org.springframework.boot.autoconfigure.AutoConfiguration.imports,ADD_OR_REPLACE,cpf-core,imports,206,4,0b9997698e63a0d72022bb2d2c19cabe19444c2c3a8915b90590536a502f7f56,재확인 필요,정적 검토 대상,Local R4 overlay static audit + GitHub exact commit stats,
cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,ADD_OR_REPLACE,governance/qa38,md,2416,35,47a9474e024c859e785bd363dd9bd20165112842db69d40abe9ec5fe119c0dd4,실패,Evidence SHA가 최신 54bcc108이 아니며 full build/runtime 미실행,Local R4 overlay static audit + GitHub exact commit stats,Push 후 exact SHA에서 모든 Gate를 다시 실행해 immutable Evidence를 재발급한다.
cpf-docs/quality/CPF_QA38_FINAL_REQUIREMENT_MATRIX.csv,ADD_OR_REPLACE,governance/qa38,csv,92309,157,cda98f4c9abe0bbafbdfcdf73e04befc0943a5853805d82fb45acd97f17c08c4,실패,Source 결함에도 156개 development_status 전부 완료,Local R4 overlay static audit + GitHub exact commit stats,Requirement→Source→Consumer→Test→Runtime→Evidence별 재판정하고 실패/부분 구현/미검증을 반영한다.
cpf-docs/quality/CPF_QA38_FINAL_SCENARIO_MATRIX.csv,ADD_OR_REPLACE,governance/qa38,csv,6060,53,a9861481290794c8f0942c2a7dbfbee16baccf822f10d4bcc564d558e782604c,재확인 필요,문법/정적 내용 검토 대상이며 최신 exact SHA 통합 실행 또는 정본 추적 필요,Local R4 overlay static audit + GitHub exact commit stats,
cpf-docs/work/codex/qa38/CPF_CODEX_QA38_FINAL_INDEPENDENT_VALIDATION_REQUEST.md,ADD_OR_REPLACE,governance/qa38,md,5583,111,70fae2072b2710aecf645cad3e6e54997010c4806e1cd904b4488c5739a1fabf,재확인 필요,QA38 이전 Base SHA 또는 완료 판정이 포함될 수 있어 최신 54bcc108 기준 currentization 필요,Local R4 overlay static audit + GitHub exact commit stats,
cpf-docs/work/codex/qa38/OPEN_ISSUES.md,ADD_OR_REPLACE,governance/qa38,md,563,12,72b6b5d6d620f13ef95945599b8166d82980137484031858eefca5dab2a27965,재확인 필요,QA38 이전 Base SHA 또는 완료 판정이 포함될 수 있어 최신 54bcc108 기준 currentization 필요,Local R4 overlay static audit + GitHub exact commit stats,
cpf-docs/work/codex/qa38/REQUIREMENT_STATUS.csv,ADD_OR_REPLACE,governance/qa38,csv,32740,157,83c926d9e30fda35a17a0e2778c1fdcc1b22a046d1fa2407d5e74d6dc91d9d4c,실패,Source 결함과 exact-SHA 미검증이 반영되지 않음,Local R4 overlay static audit + GitHub exact commit stats,Requirement→Source→Consumer→Test→Runtime→Evidence별 재판정하고 실패/부분 구현/미검증을 반영한다.
cpf-docs/work/codex/qa38/TEST_AND_EVIDENCE.md,ADD_OR_REPLACE,governance/qa38,md,590,19,5212dbe68c56e4515df00ae0c9400e1874e54c97bb24379ca81aeabe354c4215,재확인 필요,QA38 이전 Base SHA 또는 완료 판정이 포함될 수 있어 최신 54bcc108 기준 currentization 필요,Local R4 overlay static audit + GitHub exact commit stats,
cpf-docs/work/current/CPF_QA38_APPLY_AND_VERIFY.md,ADD_OR_REPLACE,governance/qa38,md,814,25,38b278246bbe17232132933533a9b8808c099e476d208a6a5494128c19ef6cac,재확인 필요,문법/정적 내용 검토 대상이며 최신 exact SHA 통합 실행 또는 정본 추적 필요,Local R4 overlay static audit + GitHub exact commit stats,Base SHA blob hash 기반 preimage 검사와 exact overlapping path report/merge handoff를 구현한다.
cpf-docs/work/current/CPF_QA38_INTEGRATED_DEVELOPMENT_BACKLOG.csv,ADD_OR_REPLACE,governance/qa38,csv,18850,157,32672d38a25d60be6f9104d66908bfc20862d0e4519f275c0dce20f7d152857a,재확인 필요,문법/정적 내용 검토 대상이며 최신 exact SHA 통합 실행 또는 정본 추적 필요,Local R4 overlay static audit + GitHub exact commit stats,
cpf-docs/work/current/CPF_QA38_SELF_DEVELOPED_REQUIREMENTS.csv,ADD_OR_REPLACE,governance/qa38,csv,92309,157,cda98f4c9abe0bbafbdfcdf73e04befc0943a5853805d82fb45acd97f17c08c4,실패,Source 결함에도 완료 상태 일괄 유지,Local R4 overlay static audit + GitHub exact commit stats,Requirement→Source→Consumer→Test→Runtime→Evidence별 재판정하고 실패/부분 구현/미검증을 반영한다.
cpf-docs/work/handover/CPF_QA38_HANDOVER.md,ADD_OR_REPLACE,governance/qa38,md,952,15,fee5a7aa05a87364556af9eb135ace4ab72ff8c150949fe6b53e82080cf2795e,재확인 필요,QA38 이전 Base SHA 또는 완료 판정이 포함될 수 있어 최신 54bcc108 기준 currentization 필요,Local R4 overlay static audit + GitHub exact commit stats,
