path,change_type,owner,requirement_scope,reason,sha256,delete_required
cpf-batch/center-cut-runner/src/main/java/com/cpf/batch/centercut/runner/CenterCutLifecycleReconciler.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,scheduled process-kill claim recovery consumer,8fbcfca09d730035cc117b8f582010c3c03b0150f813db1e9e8b3cd217eba99b,False
cpf-batch/center-cut-runner/src/main/java/com/cpf/batch/centercut/runner/internal/JdbcCenterCutClaimRepository.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,per-row recovery transaction; completion row-count fail-closed,3a269dd20d79ba6284e6fce1cd9ced721fb24472ea522eb05ac01c41b2d7a0ba,False
cpf-batch/center-cut-runner/src/test/java/com/cpf/batch/centercut/runner/CenterCutLifecycleReconcilerTest.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,scheduled recovery/lifecycle regression,b1ae1fd8338a65474cdba017b101a17ee981b91d2385e56e145bfec5cd02b15c,False
cpf-batch/center-cut-runner/src/test/java/com/cpf/batch/centercut/runner/internal/JdbcCenterCutClaimRepositoryTest.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,poison-row and completion conflict regression,a0c870c73a24cbc3a037a433c824c0f86a5bdc3d653902b523f27bb74f35218c,False
cpf-batch/control-server/src/main/java/com/cpf/batch/control/CenterCutReconciliationController.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,execution-scope atomic reconcile; validation/404/audit fail-closed,66b05dee5314ab88a940d15064763f80c67e0fb6d3a130193148e1ca36a54da8,False
cpf-batch/control-server/src/main/java/com/cpf/batch/control/RemoteMessageReconciliationController.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,approved explicit UNKNOWN retry CAS/audit/idempotency backend,acd52263bd137dfd4d055059baba52b202908672eaa6ab5eea53106cf78b2d0f,False
cpf-batch/control-server/src/main/java/com/cpf/batch/control/RuntimeCommandExecutor.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,preserve UNKNOWN/non-terminal/rollback/evidence persistence states,2948409f80309fa7a1814362ce779ab3497f72dc36e97929d3407b56bb39ecbc,False
cpf-batch/control-server/src/test/java/com/cpf/batch/control/CenterCutReconciliationControllerTest.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,controller error/partial/audit regression,1c41b3c2047cbc51599a97fc1c4c33d734b345afda5ecc454dd0d83e79a1aaaf,False
cpf-batch/control-server/src/test/java/com/cpf/batch/control/RemoteMessageReconciliationControllerTest.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,remote UNKNOWN reconcile API regression,78e1e91f5fa6a8c0dca35823ad334aec0f519dcda88171dc9abaefbe54066002,False
cpf-batch/control-server/src/test/java/com/cpf/batch/control/RuntimeCommandExecutorFailureClassificationTest.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,runtime command state aggregation regression,b2bd8fea3ab95309e09462939b119e16b91ecdc37e66c3e112af138090ac229b,False
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaInboundBridge.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,durable async UNKNOWN and ACK boundary,2bd48bed991a76dd6bfa23cbef89720c545552c624272a3d3375d120dfee00b8,False
cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchRemoteMessageLedger.java,MODIFY,DEVGPT-V9-S02,S02 exact scope,UNKNOWN_RECONCILE_REQUIRED contract,fea0e15bb49fc3197281987718d4548f6e1670ee487cba34d70999d1a1c3ff15,False
