# method	path-template	operationId
GET	/api/bza/admin-users	bzaOperationFindAdminUsers
POST	/api/bza/admin-users	bzaOperationSaveAdminUser
GET	/api/bza/admin-users/page	bzaOperationFindAdminUsersPage
GET	/api/bza/approvals/delegations	bzaApprovalDelegations
POST	/api/bza/approvals/delegations	bzaApprovalDelegationSave
GET	/api/bza/approvals/inbox	bzaApprovalInbox
GET	/api/bza/approvals/policies	bzaApprovalPolicies
POST	/api/bza/approvals/policies	bzaApprovalPolicySave
GET	/api/bza/approvals/policies/{policyCode}/{version}	bzaApprovalPolicyDetail
POST	/api/bza/approvals/simulate	bzaApprovalPolicySimulate
GET	/api/bza/approvals/submissions	bzaApprovalSubmissions
POST	/api/bza/approvals/submissions	bzaApprovalPolicySubmit
POST	/api/bza/approvals/submissions/expire-due	bzaApprovalExpireDue
GET	/api/bza/approvals/submissions/{approvalId}	bzaApprovalSubmissionDetail
POST	/api/bza/approvals/submissions/{approvalId}/cancel	bzaApprovalCancel
POST	/api/bza/approvals/submissions/{approvalId}/resubmit	bzaApprovalResubmit
POST	/api/bza/approvals/submissions/{approvalId}/withdraw	bzaApprovalWithdraw
POST	/api/bza/approvals/{approvalId}/decisions	bzaApprovalParticipantDecision
GET	/api/bza/attachments	bzaSupportFindAttachments
POST	/api/bza/attachments	bzaSupportUploadAttachment
GET	/api/bza/attachments/{attachmentId}/download	bzaSupportDownloadAttachment
POST	/api/bza/attachments/{attachmentId}/recheck	bzaSupportRecheckAttachment
POST	/api/bza/attachments/{attachmentId}/security	bzaSupportUpdateAttachmentSecurity
GET	/api/bza/audits/verify	bzaBusinessAuditVerify
POST	/api/bza/auth/login	bzaAuthLogin
GET	/api/bza/auth/login-history	bzaAuthLoginHistories
POST	/api/bza/auth/logout	bzaAuthLogout
GET	/api/bza/auth/me	bzaAuthMe
POST	/api/bza/auth/password/change	bzaAuthChangePassword
POST	/api/bza/auth/refresh	bzaAuthRefresh
GET	/api/bza/auth/sessions	bzaAuthSessions
POST	/api/bza/auth/sessions/{sessionId}/revoke	bzaAuthRevokeSession
GET	/api/bza/backoffice/audits	bzaBackofficeFindBusinessAudits
GET	/api/bza/backoffice/employees	bzaBackofficeFindEmployees
POST	/api/bza/backoffice/employees	bzaBackofficeSaveEmployee
GET	/api/bza/backoffice/employees/page	bzaBackofficeFindEmployeesPage
POST	/api/bza/backoffice/employees/{employeeNo}/contacts/raw	bzaBackofficeEmployeeRawContact
GET	/api/bza/backoffice/organizations	bzaBackofficeFindOrganizations
POST	/api/bza/backoffice/organizations	bzaBackofficeSaveOrganization
GET	/api/bza/backoffice/organizations/page	bzaBackofficeFindOrganizationsPage
GET	/api/bza/backoffice/permissions/effective	bzaBackofficeFindEffectivePermissions
POST	/api/bza/common-catalog/cache/refresh	bzaCommonCatalogRefresh
GET	/api/bza/common-catalog/messages	bzaCommonMessageSearch
POST	/api/bza/common-catalog/messages	bzaCommonMessageCreate
DELETE	/api/bza/common-catalog/messages/{id}	bzaCommonMessageDisable
GET	/api/bza/common-catalog/messages/{id}	bzaCommonMessageDetail
PUT	/api/bza/common-catalog/messages/{id}	bzaCommonMessageUpdate
GET	/api/bza/common-catalog/response-codes	bzaCommonResponseCodeSearch
POST	/api/bza/common-catalog/response-codes	bzaCommonResponseCodeCreate
DELETE	/api/bza/common-catalog/response-codes/{code}	bzaCommonResponseCodeDisable
GET	/api/bza/common-catalog/response-codes/{code}	bzaCommonResponseCodeDetail
PUT	/api/bza/common-catalog/response-codes/{code}	bzaCommonResponseCodeUpdate
DELETE	/api/bza/common/{resource}	bzaCommonDelete
GET	/api/bza/common/{resource}	bzaCommonSearch
POST	/api/bza/common/{resource}	bzaCommonCreate
PUT	/api/bza/common/{resource}	bzaCommonUpdate
POST	/api/bza/common/{resource}/detail	bzaCommonDetail
GET	/api/bza/dashboard	bzaSupportDashboard
GET	/api/bza/directory/assignments	bzaDirectoryFindAssignments
POST	/api/bza/directory/assignments	bzaDirectorySaveAssignment
GET	/api/bza/directory/assignments/page	bzaDirectoryFindAssignmentsPage
GET	/api/bza/directory/job-titles	bzaDirectoryFindJobTitles
