change_id,action,path,category,reason,baseline_sha,validation,delete_approval_required
V9-ADD-0001,ADD,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/00_APPLICATION_POLICY.md,DOCUMENT,V8와 겹치지 않는 신규 개발 GPT 관리·격리 Namespace,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,namespace isolation + unit test 8/8 + package hash,false
V9-ADD-0002,ADD,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/01_COMMON_ENGINEERING_GATES.md,DOCUMENT,V8와 겹치지 않는 신규 개발 GPT 관리·격리 Namespace,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,namespace isolation + unit test 8/8 + package hash,false
V9-ADD-0003,ADD,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/02_STANDARDS_TECHNOLOGY_CROSSWALK.md,DOCUMENT,V8와 겹치지 않는 신규 개발 GPT 관리·격리 Namespace,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,namespace isolation + unit test 8/8 + package hash,false
V9-ADD-0004,ADD,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/03_BASELINE_STABILIZATION.md,DOCUMENT,V8와 겹치지 않는 신규 개발 GPT 관리·격리 Namespace,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,namespace isolation + unit test 8/8 + package hash,false
V9-ADD-0005,ADD,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/04_REQUIREMENT_GAP_PROMOTION_REVIEW.md,DOCUMENT,V8와 겹치지 않는 신규 개발 GPT 관리·격리 Namespace,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,namespace isolation + unit test 8/8 + package hash,false
V9-ADD-0006,ADD,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/05_DEVELOPMENT_MANAGEMENT_MODEL.md,DOCUMENT,V8와 겹치지 않는 신규 개발 GPT 관리·격리 Namespace,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,namespace isolation + unit test 8/8 + package hash,false
V9-ADD-0007,ADD,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/05_SESSION_HANDOVER_REQUIREMENTS.md,DOCUMENT,V8와 겹치지 않는 신규 개발 GPT 관리·격리 Namespace,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,namespace isolation + unit test 8/8 + package hash,false
V9-ADD-0008,ADD,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/06_PARALLEL_SESSION_ORCHESTRATION.md,DOCUMENT,V8와 겹치지 않는 신규 개발 GPT 관리·격리 Namespace,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,namespace isolation + unit test 8/8 + package hash,false
V9-ADD-0009,ADD,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/07_COMPLETION_SKIP_REOPEN_RULES.md,DOCUMENT,V8와 겹치지 않는 신규 개발 GPT 관리·격리 Namespace,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,namespace isolation + unit test 8/8 + package hash,false
V9-ADD-0010,ADD,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/08_FULL_REQUIREMENT_SCENARIO_MAPPING.md,DOCUMENT,V8와 겹치지 않는 신규 개발 GPT 관리·격리 Namespace,09dd686c5ae0826594b9c5e1f871d95d95d3ce1c,namespace isolation + unit test 8/8 + package hash,false
