standard_id,name,current,status,adoption,url,notes
STD-NIST-SSDF,NIST SP 800-218 SSDF,Version 1.1 Final,NORMATIVE_GAP_DETECTOR,"Secure development lifecycle, vulnerability prevention, root-cause recurrence prevention, evidence and supplier communication.",https://csrc.nist.gov/pubs/sp/800/218/final,SP 800-218 Rev.1 / SSDF 1.2 is draft; monitor only until final.
STD-OWASP-ASVS,OWASP ASVS,5.0.0 Stable,NORMATIVE_GAP_DETECTOR,Web/API security verification requirements and negative test coverage.,https://owasp.org/www-project-application-security-verification-standard/,Map relevant ASVS IDs to security and web/API work packages.
STD-OWASP-API,OWASP API Security Top 10,2023 Edition,NORMATIVE_GAP_DETECTOR,"Object/property/function authorization, resource limits, inventory, unsafe API consumption.",https://owasp.org/API-Security/editions/2023/en/0x11-t10/,"Use as threat/negative scenario inventory, not as a replacement for CPF security contracts."
STD-OAS,OpenAPI Specification,3.2.0 latest published; 3.1.2 current 3.1 patch,SUPPORTED_PROFILE_DECISION_REQUIRED,Pin a CPF-supported OAS profile based on generator/tool compatibility; evaluate 3.2.0 without forcing immediate migration.,https://spec.openapis.org/oas/,Specification text is authoritative over schemas. Sanitize Markdown/HTML and handle reference cycles.
STD-ASYNCAPI,AsyncAPI Specification,3.1.0,PROMOTE_TO_PRODUCT_GAP,"Machine-readable event/message contracts, channels, operations, bindings, correlation and examples.",https://www.asyncapi.com/docs/reference/specification/v3.1.0,Adopt only where tooling and provider contracts are verified.
STD-RFC9457,IETF RFC 9457,Proposed Standard,NORMATIVE_API_ERROR_PROFILE,Machine-readable HTTP problem details; type/title/status/instance and structured validation extensions.,https://www.rfc-editor.org/info/rfc9457/,Obsoletes RFC 7807. Avoid leaking debugging or sensitive data in detail.
STD-WCAG,WCAG,2.2 W3C Recommendation,NORMATIVE_FRONTEND_PROFILE,"CPF ADM/BZA target WCAG 2.2 AA with keyboard, focus, labels, error identification and accessible authentication.",https://www.w3.org/TR/WCAG22/,Use testable success criteria and browser/accessibility evidence.
STD-SLSA,SLSA,1.2 Approved,NORMATIVE_SUPPLY_CHAIN_PROFILE,"Source and Build tracks, provenance generation/distribution/verification and protected build platform.",https://slsa.dev/spec/v1.2/,Do not claim a SLSA level without satisfying the exact versioned track/level requirements.
STD-CYCLONEDX,CycloneDX,1.7 / ECMA-424 2nd Edition,NORMATIVE_BOM_PROFILE,"Final-artifact SBOM plus services, cryptographic assets, data provenance, licenses and attestations.",https://cyclonedx.org/specification/overview/,Generate from final artifacts and verify dependency graph completeness.
STD-OTEL,OpenTelemetry Semantic Conventions,1.43.0,STABILITY_AWARE_PROFILE,"Use stable groups by default; unstable groups require explicit opt-in, version pinning and migration/dual-emit plan.",https://opentelemetry.io/docs/specs/semconv/,Avoid unbounded cardinality and do not silently break existing telemetry.
STD-TRACE,W3C Trace Context,W3C Recommendation,NORMATIVE_TRACE_PROFILE,"traceparent/tracestate validation, trust boundaries and propagation across local/remote/async/batch.",https://www.w3.org/TR/trace-context/,"CPF transactionId remains the business execution identity and is correlated, not replaced."
STD-SCRUM,NIST SP 800-161 Rev.1 Update 1 and SP 1326,Final / July 2026 Quick-Start Guide,NORMATIVE_SUPPLIER_DUE_DILIGENCE_PROFILE,"Supplier/product provenance, resilience, foundational practices, supply-chain tiers and acquisition due diligence.",https://csrc.nist.gov/pubs/sp/1326/final,"Apply to OSS, build tools, registries, providers and commercial dependencies."
STD-CISA-SBD,CISA Secure by Design / Product Security Bad Practices,Updated January 2025,NORMATIVE_BAD_PRACTICE_GAP_DETECTOR,"Eliminate preventable defect classes, default credentials and delayed KEV remediation; make secure defaults customer-safe.",https://www.cisa.gov/news-events/alerts/2025/01/17/cisa-and-fbi-release-updated-guidance-product-security-bad-practices,Use as product manufacturer review criteria; preserve CPF architecture and applicable legal constraints.
STD-OPENFEATURE,OpenFeature Specification,Current published specification,PROMOTE_TO_PRODUCT_GAP,"Vendor-neutral evaluation API, provider lifecycle, context, hooks, events and tracking with section stability awareness.",https://openfeature.dev/specification/,Only stable/hardening sections are production defaults; experimental features require opt-in.
STD-CLOUDEVENTS,CloudEvents,1.0,EVENT_ENVELOPE_COMPATIBILITY_REFERENCE,Evaluate compatibility for external/interoperable event envelope use without replacing CPF mandatory business metadata.,https://cloudevents.io/,"Use as an interoperability profile, not an automatic mandatory envelope for every internal message."
STD-SPRING,Spring Boot / Spring Cloud,Spring Boot 4.1.0; Spring Cloud 2025.1.2 compatible,TECHNOLOGY_COMPATIBILITY_BASELINE,Pin an approved stack matrix and fail closed on unsupported combinations.,https://docs.spring.io/spring-boot/system-requirements.html,Spring Cloud 2025.1.2 adds Boot 4.1.0 compatibility.
STD-GRADLE-JAVA,Java 25 / Gradle,Java 25 target; Gradle 9.1 supports Java 25; current Gradle 9.x is newer,PINNED_BASELINE_WITH_SHADOW_UPGRADE,Keep the repository-pinned wrapper as source of truth; evaluate later compatible 9.x minors in shadow builds before any upgrade.,https://docs.gradle.org/9.1.0/release-notes.html,Use Java Toolchains. Security-patched JDK builds are required without forcing one JDK vendor.
