entity_type,exact_id,previous_classification,current_status,self_review_status,external_runtime_tracked,execution_ref,evidence_ref
CPF_FR,CPF-FR-000010,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000010
CPF_FR,CPF-FR-000055,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000055
CPF_FR,CPF-FR-000056,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000056
CPF_FR,CPF-FR-000057,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000057
CPF_FR,CPF-FR-000058,VERIFICATION_ONLY,완료,완료,true,EXEC-FINAL-INTEGRATION-CLOSURE|EXEC-TARGET-RUNTIME-REEXECUTION,EVID:CPF_FR:CPF-FR-000058
CPF_FR,CPF-FR-000059,VERIFICATION_ONLY,완료,완료,true,EXEC-FINAL-INTEGRATION-CLOSURE|EXEC-TARGET-RUNTIME-REEXECUTION,EVID:CPF_FR:CPF-FR-000059
CPF_FR,CPF-FR-000060,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000060
CPF_FR,CPF-FR-000071,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000071
CPF_FR,CPF-FR-000089,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000089
CPF_FR,CPF-FR-000090,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000090
CPF_FR,CPF-FR-000091,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000091
CPF_FR,CPF-FR-000093,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000093
CPF_FR,CPF-FR-000094,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000094
CPF_FR,CPF-FR-000095,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000095
CPF_FR,CPF-FR-000116,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000116
CPF_FR,CPF-FR-000117,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000117
CPF_FR,CPF-FR-000118,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000118
CPF_FR,CPF-FR-000119,VERIFICATION_ONLY,완료,완료,true,EXEC-FINAL-INTEGRATION-CLOSURE|EXEC-TARGET-RUNTIME-REEXECUTION,EVID:CPF_FR:CPF-FR-000119
CPF_FR,CPF-FR-000120,VERIFICATION_ONLY,완료,완료,true,EXEC-FINAL-INTEGRATION-CLOSURE|EXEC-TARGET-RUNTIME-REEXECUTION,EVID:CPF_FR:CPF-FR-000120
CPF_FR,CPF-FR-000121,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000121
CPF_FR,CPF-FR-000132,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000132
CPF_FR,CPF-FR-000149,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000149
CPF_FR,CPF-FR-000162,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000162
CPF_FR,CPF-FR-000163,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000163
CPF_FR,CPF-FR-000164,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000164
CPF_FR,CPF-FR-000165,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000165
CPF_FR,CPF-FR-000166,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000166
CPF_FR,CPF-FR-000167,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000167
CPF_FR,CPF-FR-000168,VERIFICATION_ONLY,완료,완료,true,EXEC-FINAL-INTEGRATION-CLOSURE|EXEC-TARGET-RUNTIME-REEXECUTION,EVID:CPF_FR:CPF-FR-000168
CPF_FR,CPF-FR-000177,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000177
CPF_FR,CPF-FR-000178,VERIFICATION_ONLY,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_FR:CPF-FR-000178
