entity_type,exact_id,previous_classification,current_status,self_review_status,external_runtime_tracked,execution_ref,evidence_ref
CPF_SC,CPF-SC-018069,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018069
CPF_SC,CPF-SC-018071,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018071
CPF_SC,CPF-SC-018102,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018102
CPF_SC,CPF-SC-018103,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018103
CPF_SC,CPF-SC-018104,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018104
CPF_SC,CPF-SC-018118,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018118
CPF_SC,CPF-SC-018119,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018119
CPF_SC,CPF-SC-018120,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018120
CPF_SC,CPF-SC-018121,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018121
CPF_SC,CPF-SC-018122,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018122
CPF_SC,CPF-SC-018123,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018123
CPF_SC,CPF-SC-018125,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018125
CPF_SC,CPF-SC-018126,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018126
CPF_SC,CPF-SC-018127,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018127
CPF_SC,CPF-SC-018128,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018128
CPF_SC,CPF-SC-018129,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018129
CPF_SC,CPF-SC-018131,DIRECT_DEVELOPMENT,완료,완료,false,EXEC-FINAL-INTEGRATION-CLOSURE,EVID:CPF_SC:CPF-SC-018131
