area,subject,current_or_canonical_evidence,target_or_documented_contract,remaining_boundary,status
07_19 Root Layout,Logical :cpf-foundation / :cpf-testkit,settings.gradle target projectDir,cpf-starters/foundation/core ; cpf-tools/testing/cpf-testkit,CURRENT Git tree에는 old root 파일이 존재하고 target physical apply/delete가 별도 권한에 종속,재확인 필요
07_20 Unified Context,Core Context semantics / Envelope / Snapshot / Scope,Canonical/API/Architecture/Developer Guide,transport-neutral Context; Header는 HTTP wire representation,현재 Web TransactionContextFilter/CpfHeaders는 확인됐으나 target Unified Context API 전체 구현 근거는 미확인,부분 구현
07_20 Standard Header,trust/propagation/mutation/direction/log-mask/compatibility,cpf-docs/api/API_GUIDE.md + current Web Header source,"X-Transaction-Id E2E, Request-Id PER_HOP, Idempotency operation-scoped, credential DO_NOT_PROPAGATE",Header policy의 Source/Test 전수 구현은 별도 개발/QA 대상,부분 구현
07_20 Mandatory Fan-out,Web/Gateway/Messaging/Async/Batch/Center-Cut/File/Security/Observability/ADM/Generator/EDU/Testkit,Canonical requirement,Context 변경과 같은 변경 단위에서 fan-out; Batch 후속 이월 금지,Runtime/Adapter/Consumer 전수 실행 검증 미수행,미검증
NXT-ARCH / Core Closure,Core Kernel과 Capability Owner 분리,canonical + settings/catalog + architecture gate,"Root 임의 확장 금지, unknown auto KEEP 금지, stale/duplicate residue FAIL",문서에 CURRENT/TARGET/APPLY PENDING 경계를 명시,PASS
FOUNDATION-UTILITY,Pure Foundation,07_18 current files + 07_19 target physical owner,Business Date/Clock/Amount/ID/Validation 등 pure utility,물리 이동은 사용자 승인/적용 상태에 종속,부분 구현
NXT-TESTKIT-001,Official Test Support,07_18 current files + 07_19 target physical owner,failure injection/process kill/multi-instance/deterministic support,full Java25 build 및 actual process runtime 미실행,부분 구현
NXT-HEALTH-001/002/003;NXT-OPS-001,Health/Registry/ADM/Drain,health starter + JDBC registry + ADM route/frontend + DB V112,Source/OpenAPI/Generated Client/Vue/DB3 chain 확인,2+ instance/drain/process runtime 미실행,부분 구현
NXT-SESSION-001,Valkey distributed session,session-valkey starter,TTL/concurrent session/forced logout/tenant/audit 경계,Valkey partition/restart runtime 미실행,부분 구현
NXT-LOCK-001,Valkey lock/fencing,lock-valkey starter,lease/CAS/fencing/stale owner 정책,Valkey process-kill/fencing runtime 미실행,부분 구현
NXT-STORE-001,S3-compatible object storage,object-storage-s3 starter,put/head/range/presign/multipart/tenant/KMS 경계,S3-compatible runtime 미실행,부분 구현
NXT-EVENT-001,Event Schema Governance,schema-governance starter + core contract,JSON/Avro/Protobuf compatibility/runtime validation 계약,concurrent/external registry runtime 미실행,부분 구현
NXT-GQL-001,GraphQL Optional,graphql starter + reference consumer,depth/complexity/document/introspection/graphiql guard,web/security runtime 미실행,부분 구현
NXT-RT-001,Realtime/SSE,realtime starter,heartbeat/replay/client limit/fallback/reconnect 경계,browser/reconnect/load runtime 미실행,부분 구현
NXT-FE-001,ADM Instance Health,controller/openapi/generated client/route/vue,/health-instances actual field/operation/detail chain,npm build/e2e 미실행,부분 구현
NXT-GEN-001/002,Starter Catalog/Profile/Generator,cpf-starter-catalog + settings,"nonStarterInternalRoots, profile resolution, zero-footprint/consumer gate",generated-domain full compile/runtime 미실행,부분 구현
NXT-HYG/EVD/QA,Relocation/Delete/Runtime/QA,work manifests + runtime-only matrix,삭제 권한·미검증 Runtime·독립 QA를 PASS로 승격하지 않음,사용자 승인 삭제 및 QA A/B가 남음,미검증
