validation_id,command,environment,status,exit_code,scope,evidence_path,verified_against_sha
P00-SPLIT,python cpf-tools/scripts/verify-cpf-split-master-dataset.py --root <full-split-root> --scope-row-count 10027 --json-output <evidence>,Python; full split dataset fixture,PASS,0,"30,558 requirements; 40,763 scenarios; 30,558 execution; scope 10,027",cpf-docs/work/evidence/20260803/session4/P00_SPLIT_MASTER_VALIDATION_R2.json,d2adc89f344fa1f93a2f9291f6576ce69be05239
P01-TRACE,python cpf-tools/scripts/verify-cpf-requirement-traceability.py --root <full-split-root> --json-output <evidence>,Python; full split dataset fixture,PASS,0,full cross-link and release fail-closed,cpf-docs/work/evidence/20260803/session4/P01_REQUIREMENT_TRACEABILITY_R2.json,d2adc89f344fa1f93a2f9291f6576ce69be05239
REGRESSION-70,"python -m unittest discover -s cpf-tools/scripts/tests -p ""test_*.py""",Python; merged exact-SHA fixture + overlay,PASS,0,70 Python gate regression tests,cpf-docs/work/evidence/20260803/session4/P00_P05_MERGED_REGRESSION_TESTS_R2.log,d2adc89f344fa1f93a2f9291f6576ce69be05239
JAVA21-SUBSTITUTE,python cpf-tools/scripts/verify-cpf-java21-substitute-validation.py --repository-root . --output <evidence>,OpenJDK 21.0.10,PASS,0,"real Batch controller/test compile, 2 unit methods, runtime harness, class major 65",cpf-docs/work/evidence/20260803/session4/JAVA21_SUBSTITUTE_VALIDATION.json,d2adc89f344fa1f93a2f9291f6576ce69be05239
FRONTEND-SUBSTITUTE,python cpf-tools/scripts/verify-cpf-frontend-substitute-validation.py --repository-root . --output <evidence>,Node 22.16.0; TypeScript 5.8.3; Chromium; Playwright 1.57.0,PASS,0,"ADM/BZA strict TypeScript, Node, Chromium actor trust",cpf-docs/work/evidence/20260803/session4/FRONTEND_SUBSTITUTE_VALIDATION.json,d2adc89f344fa1f93a2f9291f6576ce69be05239
P03-DB-LESS,python cpf-tools/scripts/<corresponding-gate>.py --root <targeted-exact-sha-fixture> --json-output <evidence>,Python; exact-SHA targeted fixture + overlay,PASS,0,exact-SHA ADM/CMN owner source,cpf-docs/work/evidence/20260803/session4/P03_DB_LESS_FAIL_CLOSED_R2_TARGETED.json,d2adc89f344fa1f93a2f9291f6576ce69be05239
P03-TX,python cpf-tools/scripts/<corresponding-gate>.py --root <targeted-exact-sha-fixture> --json-output <evidence>,Python; exact-SHA targeted fixture + overlay,PASS,0,exact-SHA transaction contract subset,cpf-docs/work/evidence/20260803/session4/P03_TRANSACTION_ID_R2_TARGETED.json,d2adc89f344fa1f93a2f9291f6576ce69be05239
P03-OPERATOR,python cpf-tools/scripts/<corresponding-gate>.py --root <targeted-exact-sha-fixture> --json-output <evidence>,Python; exact-SHA targeted fixture + overlay,PASS,0,ADM/BZA/Batch actor trust,cpf-docs/work/evidence/20260803/session4/P03_OPERATOR_TRUST_R2_TARGETED.json,d2adc89f344fa1f93a2f9291f6576ce69be05239
P03-NETWORK,python cpf-tools/scripts/<corresponding-gate>.py --root <targeted-exact-sha-fixture> --json-output <evidence>,Python; exact-SHA targeted fixture + overlay,PASS,0,shared network policy and 3 consumers,cpf-docs/work/evidence/20260803/session4/P03_NETWORK_POLICY_R2_TARGETED.json,d2adc89f344fa1f93a2f9291f6576ce69be05239
P03-AUDIT,python cpf-tools/scripts/<corresponding-gate>.py --root <targeted-exact-sha-fixture> --json-output <evidence>,Python; exact-SHA targeted fixture + overlay,PASS,0,durable audit services,cpf-docs/work/evidence/20260803/session4/P03_AUDIT_FAIL_CLOSED_R2_TARGETED.json,d2adc89f344fa1f93a2f9291f6576ce69be05239
P04-DB-VENDOR,python cpf-tools/scripts/<corresponding-gate>.py --root <targeted-exact-sha-fixture> --json-output <evidence>,Python; exact-SHA targeted fixture + overlay,PASS,0,three-vendor canonical metadata and exact-SHA confirmed physical contracts,cpf-docs/work/evidence/20260803/session4/P04_DB_VENDOR_R2_TARGETED.json,d2adc89f344fa1f93a2f9291f6576ce69be05239
P05-STARTER,python cpf-tools/scripts/<corresponding-gate>.py --root <targeted-exact-sha-fixture> --json-output <evidence>,Python; exact-SHA targeted fixture + overlay,PASS,0,"38 modules, profiles/groups/provider slots and physical contracts",cpf-docs/work/evidence/20260803/session4/P05_STARTER_CATALOG_R2_TARGETED.json,d2adc89f344fa1f93a2f9291f6576ce69be05239
STATIC-HYGIENE-SECRET,"Python package integrity, text hygiene, path traversal, protected path, artifact, exit-code, and secret-pattern scan",Python; final overlay tree,PASS,0,all overlay files before final ZIP,cpf-docs/work/evidence/20260803/session4/STATIC_HYGIENE_AND_SECRET_SCAN.json,d2adc89f344fa1f93a2f9291f6576ce69be05239
