path,action,category,reason,verification
cpf-admin/frontend/src/shared/cpfApi.ts,MODIFIED,SOURCE,Browser actor alias 위조 입력을 Query·Params·중첩 Body에서 차단,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-admin/src/main/java/com/cpf/admin/opr/batch/runtime/BatchRuntimeControlController.java,MODIFIED,SOURCE,중첩 Map/List Actor alias 재귀 제거 및 인증 Actor만 Owner에 전달,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-admin/src/test/java/com/cpf/admin/opr/batch/runtime/BatchRuntimeControlControllerActorTest.java,ADDED,SOURCE,재귀 Actor Sanitizer 실제 단위 회귀 Test,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-biz-admin/frontend/src/shared/cpfApi.ts,MODIFIED,SOURCE,Browser actor alias 위조 입력을 Query·Params·중첩 Body에서 차단,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/current/CPF_EXECUTION_SEQUENCE.csv,MODIFIED,CANONICAL_LEDGER,Split Master 정본 Index/Traceability 메타데이터 교정,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/current/CPF_REQUIREMENT_MASTER.csv,MODIFIED,CANONICAL_LEDGER,Split Master 정본 Index/Traceability 메타데이터 교정,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/current/CPF_SCENARIO_MASTER.csv,MODIFIED,CANONICAL_LEDGER,Split Master 정본 Index/Traceability 메타데이터 교정,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/development/p00-p05-session4/CHANGE_MANIFEST.csv,ADDED,PACKAGE_DOC,QA 환경 제약·검증 이관 추가 지침 반영,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/development/p00-p05-session4/CODEX_REVIEW_REQUEST.md,ADDED,PACKAGE_DOC,QA 환경 제약·검증 이관 추가 지침 반영,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/development/p00-p05-session4/DELETE_MANIFEST.csv,ADDED,PACKAGE_DOC,QA 환경 제약·검증 이관 추가 지침 반영,삭제 행 0건 확인
cpf-docs/work/development/p00-p05-session4/ENVIRONMENT_VALIDATION_HANDOFF.csv,ADDED,PACKAGE_DOC,Requirement·Scenario별 외부 Runtime 검증 이관 정본,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/development/p00-p05-session4/EXECUTION_LEDGER.csv,ADDED,PACKAGE_DOC,실행 명령·환경·Exit Code·Evidence 원장,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/development/p00-p05-session4/HANDOVER.md,ADDED,PACKAGE_DOC,QA 환경 제약·검증 이관 추가 지침 반영,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/development/p00-p05-session4/OPEN_ISSUES.md,ADDED,PACKAGE_DOC,QA 환경 제약·검증 이관 추가 지침 반영,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/development/p00-p05-session4/PACKAGE_MANIFEST.json,ADDED,PACKAGE_DOC,R2 Overlay 파일 Hash·범위·기준 SHA 정본,Package hash integrity check
cpf-docs/work/development/p00-p05-session4/POST_REVIEW.md,ADDED,PACKAGE_DOC,QA 환경 제약·검증 이관 추가 지침 반영,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/development/p00-p05-session4/PRE_REVIEW.md,ADDED,PACKAGE_DOC,QA 환경 제약·검증 이관 추가 지침 반영,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/development/p00-p05-session4/REQUIREMENT_STATUS.csv,ADDED,PACKAGE_DOC,QA 환경 제약·검증 이관 추가 지침 반영,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/development/p00-p05-session4/REVIEW_INDEX.md,ADDED,PACKAGE_DOC,QA 환경 제약·검증 이관 추가 지침 반영,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/development/p00-p05-session4/TEST_AND_EVIDENCE.md,ADDED,PACKAGE_DOC,QA 환경 제약·검증 이관 추가 지침 반영,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/BASELINE_REBASE_AND_OVERLAP.json,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/ENVIRONMENT_AND_LIMITATIONS.json,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/FRONTEND_SUBSTITUTE_VALIDATION.json,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/JAVA21_SUBSTITUTE_VALIDATION.json,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P00_P05_MERGED_REGRESSION_TESTS_R2.exitcode,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P00_P05_MERGED_REGRESSION_TESTS_R2.log,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P00_SPLIT_MASTER_VALIDATION_R2.exitcode,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P00_SPLIT_MASTER_VALIDATION_R2.json,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P01_REQUIREMENT_TRACEABILITY_R2.exitcode,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P01_REQUIREMENT_TRACEABILITY_R2.json,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P03_AUDIT_FAIL_CLOSED_R2_TARGETED.exitcode,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P03_AUDIT_FAIL_CLOSED_R2_TARGETED.json,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P03_DB_LESS_FAIL_CLOSED_R2_TARGETED.exitcode,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P03_DB_LESS_FAIL_CLOSED_R2_TARGETED.json,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P03_NETWORK_POLICY_R2_TARGETED.exitcode,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P03_NETWORK_POLICY_R2_TARGETED.json,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P03_OPERATOR_TRUST_R2_TARGETED.exitcode,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P03_OPERATOR_TRUST_R2_TARGETED.json,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P03_TRANSACTION_ID_R2_TARGETED.exitcode,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P03_TRANSACTION_ID_R2_TARGETED.json,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P04_DB_VENDOR_R2_TARGETED.exitcode,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P04_DB_VENDOR_R2_TARGETED.json,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P05_STARTER_CATALOG_R2_TARGETED.exitcode,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/P05_STARTER_CATALOG_R2_TARGETED.json,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/PYTHON_COMPILEALL_R2.log,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/STATIC_HYGIENE_AND_SECRET_SCAN.json,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/negative-gate-exit-codes.txt,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/pre-fix-split-master-failure.log,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/evidence/20260803/session4/release-fail-closed.log,ADDED,EVIDENCE,최신 master 기준 실제 실행 결과 및 이관 근거,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/manifest/CPF_FILES.sha256,MODIFIED,CANONICAL_MANIFEST,Split Package byte/hash 정합성 교정,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
cpf-docs/work/manifest/CPF_PACKAGE_MANIFEST.json,MODIFIED,CANONICAL_MANIFEST,R2 Overlay 파일 Hash·범위·기준 SHA 정본,Package hash integrity check
cpf-docs/work/manifest/CPF_REQUIREMENT_VALIDATION_RESULT.json,MODIFIED,CANONICAL_MANIFEST,Split Package byte/hash 정합성 교정,PASS 또는 검증 이관 상태는 TEST_AND_EVIDENCE.md·ENVIRONMENT_VALIDATION_HANDOFF.csv 참조
